age,job,marital,education,balance,housing,loan,contact,campaign,deposit
56,admin,married,secondary,4659,no,no,telephone,4,no
69,technician,single,secondary,-762,yes,yes,cellular,7,yes
46,management,single,primary,13064,no,yes,telephone,9,no
32,admin,divorced,primary,29115,no,yes,cellular,2,yes
60,retired,married,secondary,29952,yes,no,telephone,2,no
25,blue-collar,single,secondary,3620,yes,no,telephone,6,yes
38,technician,divorced,secondary,32254,yes,no,telephone,3,no
56,entrepreneur,married,secondary,35449,no,no,telephone,4,no
36,entrepreneur,single,tertiary,42258,no,no,cellular,3,no
40,blue-collar,married,secondary,2470,yes,yes,telephone,1,no
28,entrepreneur,married,secondary,20003,yes,yes,telephone,6,no
28,blue-collar,single,secondary,25571,no,yes,telephone,2,no
41,admin,single,secondary,22668,yes,no,telephone,2,no
53,technician,single,tertiary,9723,yes,yes,cellular,7,no
57,technician,married,primary,44656,no,no,cellular,5,no
41,services,married,primary,29040,yes,no,telephone,8,no
20,blue-collar,divorced,primary,37945,yes,no,cellular,2,yes
39,technician,married,primary,43969,yes,no,telephone,8,yes
19,services,single,primary,30046,yes,no,cellular,7,no
41,management,married,tertiary,3441,no,no,telephone,8,no
61,services,divorced,primary,48992,no,yes,cellular,3,no
47,retired,divorced,tertiary,9719,no,no,cellular,8,no
55,student,single,tertiary,3397,no,yes,cellular,6,no
19,admin,single,primary,32389,yes,no,cellular,2,no
38,management,divorced,primary,15945,yes,yes,cellular,6,no
50,student,divorced,primary,20233,yes,no,telephone,5,no
29,student,divorced,secondary,15800,yes,no,cellular,3,no
39,management,single,tertiary,2190,no,yes,telephone,1,no
61,retired,divorced,primary,35822,yes,no,telephone,7,no
42,services,divorced,secondary,-870,yes,no,telephone,2,no
66,admin,single,tertiary,12071,no,yes,telephone,1,no
44,services,married,secondary,17981,no,yes,telephone,1,no
59,technician,married,secondary,42704,no,no,telephone,7,no
45,services,divorced,primary,118,yes,yes,telephone,1,no
33,entrepreneur,married,tertiary,-1337,no,yes,telephone,9,no
32,management,married,secondary,49786,yes,no,telephone,6,yes
64,admin,married,tertiary,13735,yes,yes,telephone,4,no
68,services,married,primary,17158,no,no,telephone,4,no
61,admin,divorced,tertiary,29087,no,yes,cellular,5,no
69,admin,married,secondary,20578,no,no,telephone,2,no
20,technician,married,secondary,17874,yes,no,telephone,5,no
54,technician,single,tertiary,40531,yes,no,telephone,2,no
68,management,divorced,secondary,15907,yes,yes,cellular,4,yes
24,retired,single,secondary,38821,no,no,cellular,5,no
38,entrepreneur,single,secondary,48139,yes,yes,telephone,6,no
26,student,divorced,primary,20787,yes,no,cellular,6,no
56,admin,married,primary,19705,yes,no,cellular,9,no
35,retired,single,secondary,1845,yes,no,telephone,4,yes
21,student,divorced,tertiary,44264,no,yes,telephone,5,yes
42,student,married,primary,37069,yes,no,cellular,6,yes
31,entrepreneur,divorced,tertiary,42653,no,no,cellular,4,no
67,management,single,secondary,14482,no,yes,telephone,6,no
26,student,married,secondary,33056,yes,no,telephone,2,no
43,entrepreneur,married,tertiary,24090,yes,no,telephone,7,no
19,student,divorced,primary,18681,no,yes,telephone,3,no
37,admin,married,tertiary,30252,yes,yes,telephone,4,no
45,admin,single,tertiary,5796,no,yes,telephone,9,no
64,blue-collar,single,secondary,5263,yes,no,cellular,5,yes
24,retired,single,primary,10777,yes,yes,telephone,9,no
61,services,divorced,tertiary,39538,no,no,telephone,6,no
25,entrepreneur,married,primary,18343,yes,no,cellular,8,no
64,technician,married,secondary,38153,no,yes,telephone,5,no
52,entrepreneur,married,primary,12862,no,yes,telephone,5,no
31,services,single,secondary,39232,yes,no,cellular,3,no
34,retired,married,primary,35649,no,yes,cellular,7,no
53,technician,single,tertiary,46786,yes,yes,telephone,2,no
67,services,married,secondary,13691,yes,no,cellular,3,yes
57,blue-collar,single,tertiary,23028,yes,yes,telephone,2,no
21,technician,married,secondary,40135,no,yes,telephone,8,no
19,admin,divorced,primary,29066,yes,yes,cellular,4,no
23,services,divorced,primary,31181,yes,no,telephone,8,no
59,entrepreneur,single,secondary,15934,no,yes,telephone,8,no
21,technician,single,secondary,18910,no,yes,telephone,8,yes
46,blue-collar,married,secondary,45482,no,no,telephone,8,no
35,entrepreneur,married,primary,5141,no,no,cellular,8,no
43,student,divorced,secondary,43950,yes,no,cellular,9,no
61,technician,married,secondary,14225,yes,no,telephone,2,no
51,technician,single,tertiary,32714,yes,yes,telephone,9,no
27,blue-collar,single,secondary,19587,yes,no,telephone,8,yes
53,student,single,tertiary,30959,no,no,telephone,1,no
31,services,single,tertiary,47192,no,yes,telephone,5,no
48,management,single,tertiary,12175,yes,no,cellular,2,yes
65,services,divorced,primary,8051,no,no,cellular,5,no
32,student,divorced,tertiary,3892,no,yes,cellular,8,no
25,retired,single,secondary,1449,no,no,telephone,9,no
31,entrepreneur,married,primary,39095,no,no,telephone,9,no
40,blue-collar,single,primary,36677,no,yes,telephone,1,no
57,services,divorced,primary,10393,yes,yes,cellular,7,yes
38,technician,single,primary,27190,yes,yes,telephone,8,no
33,blue-collar,divorced,primary,32709,no,yes,cellular,3,yes
62,admin,divorced,primary,29533,no,yes,telephone,6,no
35,student,single,primary,24141,yes,yes,telephone,3,no
64,entrepreneur,single,tertiary,34989,yes,yes,telephone,9,no
41,services,married,secondary,21908,no,yes,telephone,3,no
43,blue-collar,divorced,secondary,37311,no,yes,cellular,2,yes
42,entrepreneur,married,tertiary,30322,no,yes,telephone,9,no
62,services,single,tertiary,48710,yes,yes,telephone,8,yes
58,blue-collar,divorced,primary,12012,no,yes,cellular,8,no
46,technician,married,primary,32889,no,no,cellular,2,no
32,admin,married,tertiary,15412,no,yes,cellular,6,no
62,admin,married,primary,28614,no,yes,telephone,5,no
18,retired,single,secondary,42494,no,yes,telephone,2,yes
42,blue-collar,single,secondary,22657,no,yes,telephone,5,yes
24,services,single,primary,3656,no,yes,telephone,4,no
26,admin,divorced,primary,6967,no,no,cellular,9,no
41,student,single,primary,17422,yes,no,cellular,1,no
18,admin,divorced,secondary,13764,yes,no,cellular,6,yes
61,management,married,primary,13873,yes,no,cellular,7,no
25,management,married,tertiary,26949,no,yes,cellular,6,no
41,admin,single,primary,41847,yes,no,telephone,5,no
28,blue-collar,married,tertiary,49030,yes,no,telephone,4,no
68,retired,single,primary,271,yes,yes,telephone,5,yes
34,admin,divorced,primary,-393,yes,no,cellular,9,yes
25,technician,married,secondary,17523,yes,no,cellular,5,no
52,entrepreneur,single,tertiary,46447,no,yes,telephone,8,yes
52,services,married,tertiary,47757,yes,yes,telephone,7,no
50,retired,married,tertiary,25990,no,no,telephone,4,no
22,technician,single,secondary,1665,no,yes,telephone,5,no
59,retired,married,tertiary,14308,yes,no,telephone,7,no
56,technician,married,secondary,3852,no,yes,telephone,6,no
58,services,married,primary,3462,yes,no,cellular,3,no
45,services,married,primary,49296,no,no,telephone,3,yes
24,management,divorced,tertiary,29795,no,no,cellular,2,no
26,blue-collar,married,primary,2270,yes,yes,telephone,3,no
25,technician,married,primary,46465,no,yes,cellular,1,no
29,entrepreneur,single,tertiary,22491,no,no,cellular,9,no
51,management,divorced,primary,48528,no,yes,cellular,2,no
50,technician,single,tertiary,34230,no,yes,telephone,3,no
65,management,single,tertiary,46242,no,no,telephone,5,no
40,services,single,primary,-1653,no,yes,telephone,4,no
41,retired,divorced,primary,47152,no,yes,telephone,5,no
54,student,single,primary,30830,no,no,cellular,6,no
52,management,single,primary,-217,yes,no,telephone,5,no
61,technician,single,primary,26390,no,yes,telephone,1,no
57,technician,married,secondary,6417,yes,yes,telephone,6,no
39,student,single,primary,4566,yes,yes,cellular,9,no
44,blue-collar,divorced,secondary,15426,no,no,cellular,3,no
52,entrepreneur,divorced,tertiary,28750,no,yes,telephone,2,no
18,services,married,primary,8872,yes,yes,telephone,6,no
52,technician,divorced,primary,26695,yes,yes,telephone,3,no
54,admin,divorced,primary,46086,yes,yes,telephone,4,no
64,retired,married,tertiary,-766,no,yes,cellular,6,no
31,management,single,secondary,32752,no,yes,telephone,6,yes
20,blue-collar,married,secondary,26832,no,no,telephone,2,yes
18,entrepreneur,single,primary,15978,yes,no,cellular,3,yes
22,student,single,primary,20641,no,no,telephone,9,no
43,retired,divorced,primary,25127,no,yes,telephone,2,no
31,services,married,primary,32720,no,yes,telephone,3,yes
56,blue-collar,divorced,tertiary,16079,no,no,cellular,9,no
44,entrepreneur,divorced,primary,15338,yes,no,cellular,4,no
26,management,single,tertiary,1291,no,no,telephone,1,no
32,management,divorced,primary,6548,no,no,telephone,2,no
32,student,married,secondary,45272,yes,no,cellular,3,yes
43,admin,divorced,secondary,42555,no,yes,cellular,9,yes
59,student,divorced,primary,31736,yes,yes,cellular,9,no
30,services,single,primary,47393,yes,yes,telephone,6,no
68,blue-collar,married,tertiary,26022,no,yes,cellular,6,no
49,blue-collar,divorced,primary,2234,yes,yes,cellular,3,no
56,technician,single,primary,24720,no,no,cellular,5,no
66,admin,divorced,primary,39106,yes,no,telephone,4,no
69,admin,married,secondary,38117,yes,yes,cellular,9,no
49,blue-collar,divorced,tertiary,11368,no,no,telephone,9,no
21,blue-collar,divorced,secondary,45969,yes,yes,telephone,1,no
47,retired,single,tertiary,46838,no,yes,telephone,8,no
54,entrepreneur,divorced,secondary,6734,no,no,telephone,9,yes
